PID,NAME,NAME TYPE,MISSION TYPE,MISSION TYPE PLUS,MISSION CATEGORY,SPACE,TIME,YEAR,MONTH,DAY,LAUNCH LOCATION,LAUNCH VEHICLE,CREWED,CELESTIAL BODIES,ORBIT,PROGRAM COST
gsfcirMisn:1299,CLARREO,Preferred,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1299,Climate Absolute Radiance and Refractivity Observatory,Alternate,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1300,Clementine,Preferred,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1300,Deep Space Program Science Experiment,Alternate,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1300,Clementine 1,Hidden,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1300,DSPSE,Hidden,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1301,Clementine ISAS,Preferred,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1301,Clementine Interstage Adapter Satellite,Alternate,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1301,ISAS,Hidden,spacecraft,NULL,NULL,NULL,NULL,1994,JAN,25,Vandenberg Air Force Base,Titan II-G,NULL,NULL,NULL,NULL
gsfcirMisn:1302,Closed Equilibrated Biological Aquatic System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1302,CEBAS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1303,Closed-Source Neutral Mass Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1304,Cloud Aerosol and Precipitation Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1304,CAPS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1305,Cloud Aerosol Lidar with Orthogonal Polarization,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1305,CALIOP,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1306,Cloud and Earth Radiant Energy System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1306,CERES,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1307,Cloud Camera Sensor Package,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1308,Cloud Imaging and Particle Size Experiment,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1308,CIPS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1309,Cloud Particle Size Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1309,LCPS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1310,Cloud Photopolarimeter,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1310,OCPP,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1311,Cloud Physics Lidar,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1311,CPL,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1312,Cloud Profiling Radar,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1312,CPR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1313,Cloud Top Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1314,Cloudsat,Preferred,spacecraft,NULL,NULL,NULL,NULL,2006,APR,28,Vandenberg Air Force Base,Delta II,NULL,NULL,NULL,NULL
gsfcirMisn:1315,Cluster 2/FM5,Preferred,spacecraft,NULL,NULL,NULL,NULL,2000,AUG,9,"Baikonur Cosmodrome, Kazakhstan",Soyuz-Fregat,NULL,NULL,NULL,NULL
